21 15 7 6 3 13 19 29 4 8 18 11 16 22 27 24 1 12 26 25 14 10 2 28 20 23 5 17 9 
28 20 23 5 17 9 21 18 4 8 15 7 6 3 13 19 1 12 26 11 16 22 27 24 29 25 14 10 2 
19 18 11 16 22 27 24 29 4 1 12 26 25 14 10 2 28 20 23 5 17 9 21 8 15 7 6 3 13 
21 18 11 16 22 27 2 28 20 23 5 17 6 3 13 19 1 12 26 25 14 10 24 29 4 8 15 7 9 
21 18 11 16 22 27 24 29 4 8 15 7 6 3 13 25 14 10 26 19 1 12 2 28 20 23 5 17 9 
37.1755 54.5074
28 20 23 5 17 9 21 18 4 8 15 7 6 3 13 19 1 12 26 11 16 22 27 24 29 25 14 10 2 
28 20 23 5 17 9 13 21 18 4 8 15 7 6 3 19 1 12 26 11 16 22 27 24 29 25 14 10 2 
28 20 23 5 17 9 21 19 1 12 26 11 16 22 27 18 4 8 15 7 6 3 13 24 29 25 14 10 2 
18 20 29 25 14 10 2 28 4 8 15 7 6 3 13 19 1 12 26 11 16 22 27 24 23 5 17 9 21 
28 20 23 5 17 9 21 12 26 18 4 8 15 7 6 3 13 19 1 11 16 22 27 24 29 25 14 10 2 
28 20 23 5 17 9 21 18 4 8 15 7 6 3 13 19 1 12 27 24 16 22 26 11 29 25 14 10 2 
37.5174 55.9996
18 20 29 25 14 10 2 28 4 8 15 7 6 3 13 19 1 12 26 11 16 22 27 24 23 5 17 9 21 
19 1 12 26 14 10 2 28 4 8 23 5 17 9 21 18 20 29 25 11 16 22 27 24 15 7 6 3 13 
18 20 29 5 17 9 2 28 4 8 15 7 6 3 13 19 1 12 26 11 16 22 27 24 23 25 14 10 21 
18 20 29 25 14 10 15 7 6 3 2 28 4 8 13 19 1 12 26 11 16 22 27 24 23 5 17 9 21 
2 28 4 8 15 7 6 3 4 8 15 7 6 3 13 19 1 12 26 11 16 22 27 18 20 29 25 14 10 
3 13 19 25 14 22 27 24 23 5 17 9 21 18 20 29 1 12 26 11 16 10 2 28 4 8 15 7 6 
35.7325 51.9883
2 28 4 8 15 7 6 3 4 8 15 7 6 3 13 19 1 12 26 11 16 22 27 18 20 29 25 14 10 
2 28 4 8 15 7 6 3 4 8 15 7 6 3 13 19 1 25 14 10 12 26 11 16 22 27 18 20 29 
2 28 4 11 16 22 27 18 20 29 25 14 6 3 13 19 1 12 26 8 15 7 6 3 4 8 15 7 10 
2 28 4 8 15 7 6 3 4 8 15 7 6 18 20 19 1 12 26 11 16 22 27 3 13 29 25 14 10 
29 25 4 8 15 7 6 3 4 8 15 7 6 3 13 19 14 10 2 28 1 12 26 11 16 22 27 18 20 
2 28 4 8 15 7 13 19 1 8 15 7 6 3 6 3 4 12 26 11 16 22 27 18 20 29 25 14 10 
32.6571 44.3298
2 28 4 8 15 7 6 3 4 8 15 7 6 3 13 19 1 12 26 11 16 22 27 18 20 29 25 14 10 
2 28 6 3 15 7 6 3 4 8 15 7 4 8 13 19 1 12 26 11 16 22 27 18 20 29 25 14 10 
2 28 4 8 15 7 6 3 4 8 15 7 6 3 13 19 1 12 25 14 10 26 11 16 22 27 18 20 29 
2 28 4 8 15 7 6 3 4 8 15 7 6 3 13 25 14 10 26 11 16 22 27 18 20 29 19 1 12 
10 2 28 4 8 15 6 3 4 8 15 7 6 3 13 19 1 12 26 11 16 22 7 27 18 20 29 25 14 
2 6 4 8 15 7 28 3 4 8 15 7 6 3 13 19 1 12 26 11 16 22 27 18 20 29 25 14 10 
34.2407 48.5829
2 28 6 3 15 7 6 3 4 8 15 7 4 8 13 19 1 12 26 11 16 22 27 18 20 29 25 14 10 
13 19 6 3 11 16 22 27 18 20 29 25 14 10 2 28 1 12 26 15 7 6 3 4 8 15 7 4 8 
4 8 13 19 1 12 29 25 14 10 2 28 6 3 15 7 6 3 26 11 16 22 27 18 20 4 8 15 7 
6 3 4 8 15 7 4 8 13 8 15 7 4 8 13 19 1 12 26 11 16 22 27 18 28 6 3 15 7 
8 13 19 1 18 20 29 25 14 10 2 28 6 3 15 7 6 12 26 11 16 22 27 3 4 8 15 7 4 
2 28 6 3 15 19 1 12 4 8 15 7 4 8 13 7 6 3 26 11 16 22 27 18 20 29 25 14 10 
34.8457 48.7869
2 28 6 3 15 19 1 12 4 8 15 7 4 8 13 7 6 3 26 11 16 22 27 18 20 29 25 14 10 
18 20 29 3 15 19 1 12 4 8 15 7 4 8 13 7 6 3 26 11 25 14 10 2 28 6 16 22 27 
2 28 6 3 15 19 1 12 4 8 15 7 4 8 18 7 6 3 26 11 16 22 27 13 20 29 25 14 10 
2 28 6 7 6 3 26 11 16 22 27 18 20 29 25 3 15 19 1 12 4 8 15 7 4 8 13 7 6 
16 28 6 3 15 19 1 12 4 26 11 16 22 27 18 20 29 25 8 15 7 4 8 13 7 6 3 26 11 
10 2 28 6 3 19 1 12 4 8 15 7 4 8 13 7 6 3 26 11 16 15 22 27 18 20 29 25 14 
34.6822 48.213
2 28 6 3 15 19 1 12 4 8 15 7 4 8 13 7 6 3 26 11 16 22 27 18 20 29 25 14 10 
2 28 6 3 15 19 1 12 4 8 22 27 18 15 7 4 8 13 7 6 3 26 11 16 20 29 25 14 10 
14 10 2 28 15 19 1 12 4 8 15 7 4 8 13 7 6 3 26 11 16 6 3 22 27 18 20 29 25 
2 28 6 18 15 19 1 12 4 8 15 7 4 8 13 7 6 3 26 11 16 22 27 3 20 29 25 14 10 
2 7 4 8 13 7 6 3 26 11 15 28 6 3 15 19 1 12 4 8 16 22 27 18 20 29 25 14 10 
2 28 6 3 15 3 26 11 19 1 12 4 8 15 7 4 8 13 7 6 16 22 27 18 20 29 25 14 10 
35.0583 48.8576
2 28 6 18 15 19 1 12 4 8 15 7 4 8 13 7 6 3 26 11 16 22 27 3 20 29 25 14 10 
11 16 22 27 3 20 29 25 14 10 2 28 4 8 13 7 6 6 18 15 19 1 12 4 8 15 7 3 26 
2 28 6 18 15 19 1 12 4 8 15 7 4 8 13 7 6 3 26 11 14 10 27 3 20 29 25 16 22 
2 28 27 3 20 19 1 12 4 8 15 7 4 8 13 7 6 3 26 11 16 22 6 18 15 29 25 14 10 
2 28 6 18 15 19 1 12 4 8 15 25 14 8 13 7 6 3 26 11 16 22 27 3 20 29 7 4 10 
14 10 2 28 6 18 15 19 4 8 15 7 4 8 13 7 6 3 26 11 16 22 27 3 20 29 25 1 12 
35.3614 49.6472
2 28 27 3 20 19 1 12 4 8 15 7 4 8 13 7 6 3 26 11 16 22 6 18 15 29 25 14 10 
10 2 28 27 3 20 19 1 12 4 15 7 4 8 13 7 6 3 26 11 16 22 6 18 15 29 8 25 14 
2 28 27 3 20 19 1 12 4 8 15 7 4 8 22 6 18 15 29 25 16 13 7 6 3 26 11 14 10 
