# T, L_min
0.52014 9.73109
0.51415 9.73109
0.50816 9.73109
0.50217 9.73109
0.49618 9.73109
0.49019 9.73109
0.4842 9.73109
0.47821 9.73109
0.47222 9.73109
0.46623 9.73109
0.46024 9.73109
0.45425 9.73109
0.44826 9.73109
0.44227 9.73109
0.43628 9.73109
0.43029 9.73109
0.4243 9.47002
0.41831 9.47002
0.41232 9.47002
0.40633 9.47002
0.40034 9.36401
0.39435 9.36401
0.38836 9.36401
0.38237 9.36401
0.37638 9.26811
0.37039 9.26811
0.3644 9.26811
0.35841 9.26811
0.35242 9.26811
0.34643 8.61973
0.34044 8.61973
0.33445 8.61973
0.32846 8.61973
0.32247 8.61973
0.31648 8.61973
0.31049 8.61973
0.3045 8.61973
0.29851 8.61973
0.29252 8.61973
0.28653 8.61973
0.28054 8.61973
0.27455 8.61973
0.26856 8.61973
0.26257 8.04774
0.25658 8.04774
0.25059 8.04774
0.2446 8.04774
0.23861 8.04774
0.23262 8.04774
0.22663 8.04774
0.22064 8.04774
0.21465 8.04774
0.20866 8.04774
0.20267 7.78558
0.19668 7.78558
0.19069 7.76493
0.1847 7.76493
0.17871 7.63578
0.17272 7.63578
0.16673 7.3892
0.16074 7.3892
0.15475 7.3892
0.14876 6.75905
0.14277 6.75905
0.13678 6.75905
0.13079 6.75905
0.1248 6.16574
0.11881 6.16574
0.11282 6.16574
0.10683 5.96427
0.10084 5.96427
0.09485 5.68321
0.08886 5.68321
0.08287 5.68321
0.07688 5.68321
0.07089 5.68321
0.0649 5.46206
0.05891 5.46206
0.05292 5.46206
0.04693 5.46206
0.04094 5.43744
0.03495 5.30151
0.02896 5.30151
0.02297 5.22795
0.01698 5.22795
0.01099 5.22795
